order_date,total_sales
2017-11-22,25024.465
2017-11-23,39143.06
2017-11-24,147635.845
2017-11-25,61009.26
2017-11-26,47917.195
2017-11-27,51196.784999999996
2017-11-28,48910.549999999996
2017-11-29,40225.95
2017-11-30,31139.295
2017-12-01,36832.494999999995
2017-12-02,28591.315
2017-12-03,30649.48
2017-12-04,44381.045
2017-12-05,35721.435
2017-12-06,37415.034999999996
2017-12-07,29323.92
2017-12-08,29085.969999999998
2017-12-09,18909.495
2017-12-10,22999.13
2017-12-11,34154.325
2017-12-12,33086.24
2017-12-13,31545.72
2017-12-14,24332.184999999998
2017-12-15,24389.92
2017-12-16,17595.605
2017-12-17,16335.57
2017-12-18,28118.625
2017-12-19,21841.695
2017-12-20,23918.094999999998
2017-12-21,17063.555
2017-12-22,12990.88
2017-12-23,12205.49
2017-12-24,6509.25
2017-12-25,10284.795
2017-12-26,20120.235
2017-12-27,19064.82
2017-12-28,16238.34
2017-12-29,16184.145
2017-12-30,12890.13
2017-12-31,8319.65
2018-01-01,8177.245
2018-01-02,24375.454999999998
2018-01-03,30375.859999999997
2018-01-04,32884.06
2018-01-05,28453.19
2018-01-06,29208.489999999998
2018-01-07,26282.105
2018-01-08,37185.055
2018-01-09,31018.32
2018-01-10,36758.455
2018-01-11,36811.595
2018-01-12,30020.609999999997
2018-01-13,27604.024999999998
2018-01-14,29215.864999999998
2018-01-15,38452.125
2018-01-16,41416.465
2018-01-17,33822.52
2018-01-18,28707.26
2018-01-19,28995.92
2018-01-20,24060.52
2018-01-21,23380.66
2018-01-22,37119.0
2018-01-23,34813.42
2018-01-24,30040.905
2018-01-25,29655.76
2018-01-26,29568.96
2018-01-27,20626.235
2018-01-28,20153.905
2018-01-29,32689.07
2018-01-30,31040.725
2018-01-31,31468.855
2018-02-01,29859.399999999998
2018-02-02,26767.345
2018-02-03,23372.98
2018-02-04,25261.719999999998
2018-02-05,34556.805
2018-02-06,36570.665
2018-02-07,30599.829999999998
2018-02-08,28290.445
2018-02-09,27345.324999999997
2018-02-10,21182.805
2018-02-11,19943.11
2018-02-12,25261.84
2018-02-13,26477.34
2018-02-14,38753.784999999996
2018-02-15,32259.204999999998
2018-02-16,27870.285
2018-02-17,25124.6
2018-02-18,23771.93
2018-02-19,30716.1
2018-02-20,36217.665
2018-02-21,31524.774999999998
2018-02-22,33431.11
2018-02-23,28993.445
2018-02-24,24592.32
2018-02-25,29640.27
2018-02-26,39537.744999999995
2018-02-27,41425.635
2018-02-28,40081.63
2018-03-01,37302.875
2018-03-02,33998.815
2018-03-03,26487.055
2018-03-04,29134.7
2018-03-05,36659.505
2018-03-06,37465.689999999995
2018-03-07,34942.015
2018-03-08,29606.17
2018-03-09,25496.0
2018-03-10,27181.515
2018-03-11,27866.05
2018-03-12,30672.6
2018-03-13,33231.86
2018-03-14,25312.02
2018-03-15,36595.369999999995
2018-03-16,31628.114999999998
2018-03-17,22113.05
2018-03-18,28217.155
2018-03-19,41192.485
2018-03-20,37106.325
2018-03-21,33952.685
2018-03-22,31620.344999999998
2018-03-23,26598.175
2018-03-24,22447.915
2018-03-25,24934.545
2018-03-26,36149.534999999996
2018-03-27,33654.939999999995
2018-03-28,27182.449999999997
2018-03-29,24638.765
2018-03-30,21281.204999999998
2018-03-31,23579.77
2018-04-01,26736.515
2018-04-02,40571.814999999995
2018-04-03,33176.225
2018-04-04,34161.6
2018-04-05,34572.725
2018-04-06,23171.995
2018-04-07,21291.82
2018-04-08,22866.655
2018-04-09,37016.479999999996
2018-04-10,25255.44
2018-04-11,35446.549999999996
2018-04-12,32815.445
2018-04-13,28713.204999999998
2018-04-14,20149.655
2018-04-15,29902.285
2018-04-16,37720.645
2018-04-17,33547.055
2018-04-18,36309.095
2018-04-19,40914.305
2018-04-20,26087.684999999998
2018-04-21,19118.434999999998
2018-04-22,26916.504999999997
2018-04-23,37806.865
2018-04-24,36571.72
2018-04-25,39307.075
2018-04-26,33948.97
2018-04-27,33799.625
2018-04-28,20585.02
2018-04-29,20620.165
2018-04-30,33639.965
2018-05-01,32217.135
2018-05-02,38428.424999999996
2018-05-03,39920.985
2018-05-04,36156.415
2018-05-05,26745.85
2018-05-06,27226.0
2018-05-07,49086.695
2018-05-08,44474.165
2018-05-09,43853.99
2018-05-10,40423.155
2018-05-11,34154.945
2018-05-12,26698.399999999998
2018-05-13,29886.3
2018-05-14,48300.034999999996
2018-05-15,45264.68
2018-05-16,48114.11
2018-05-17,29226.204999999998
2018-05-18,29971.48
2018-05-19,17895.305
2018-05-20,20337.995
2018-05-21,24731.5
2018-05-22,25164.585
2018-05-23,16250.56
2018-05-24,14929.205
2018-05-25,13767.439999999999
2018-05-26,15087.855
2018-05-27,12507.005
2018-05-28,21990.559999999998
2018-05-29,21171.324999999997
2018-05-30,19807.524999999998
2018-05-31,18387.954999999998
2018-06-01,28763.434999999998
2018-06-02,20578.905
2018-06-03,26394.67
2018-06-04,27967.829999999998
2018-06-05,28761.344999999998
2018-06-06,28793.11
2018-06-07,31626.379999999997
2018-06-08,26785.295
2018-06-09,24065.024999999998
2018-06-10,25199.57
2018-06-11,42221.735
2018-06-12,33767.75
2018-06-13,34922.439999999995
2018-06-14,28786.975
2018-06-15,24370.414999999997
2018-06-16,22024.055
2018-06-17,18209.22
2018-06-18,31808.739999999998
2018-06-19,32717.414999999997
2018-06-20,28547.434999999998
2018-06-21,29570.805
2018-06-22,21779.024999999998
2018-06-23,18468.96
2018-06-24,24510.215
2018-06-25,33194.284999999996
2018-06-26,33255.31
2018-06-27,28124.57
2018-06-28,30968.725
2018-06-29,20927.175
2018-06-30,15811.835
2018-07-01,21289.305
2018-07-02,25264.149999999998
2018-07-03,27431.98
2018-07-04,33639.814999999995
2018-07-05,27493.045
2018-07-06,16050.955
2018-07-07,9924.25
2018-07-08,14623.83
2018-07-09,19588.67
2018-07-10,16904.245
2018-07-11,17658.454999999998
2018-07-12,16197.054999999998
2018-07-13,24985.34
2018-07-14,19518.425
2018-07-15,21930.965
2018-07-16,31695.0
2018-07-17,28066.77
2018-07-18,38988.205
2018-07-19,37195.99
2018-07-20,30753.039999999997
2018-07-21,22652.355
2018-07-22,26524.445
2018-07-23,39219.57
2018-07-24,35221.814999999995
2018-07-25,37502.424999999996
2018-07-26,34140.615
2018-07-27,25171.914999999997
2018-07-28,24873.505
2018-07-29,24430.265
2018-07-30,35584.345
2018-07-31,43630.5
2018-08-01,40980.92
2018-08-02,38949.24
2018-08-03,39266.76
2018-08-04,31036.475
2018-08-05,35952.89
2018-08-06,51117.725
